fid,ID_TRC,CLASSE,SENS_CIR,NOM_VOIE,POSITION_R,ID_CYCL,slope_edit,length,umbrell_id,slope,Q85,NBLane,ADT,centerline,Estmt,DJMA_d,CL_d,CL_x,DIVIDED,lts,lts_c,lts_w,lts_c_w,lts_negD,Reach,BLanW,TYPE_VOIE,TYPE_VOIE2,ParkW,contraReac,contraLanW,contraParW,Reach_negD,BLanW_negD,ParkW_negD,asymmetric,GESTION_R,ed_typvoi,ed_typvoi2,drvewayVis,Narrow1Way,PROTEGE_4S,NBR_VOIE,LOCALISATI,LOCALIS_2,cn_Buff_R,cn_Buff_L,Buffer_R,Buffer_L,ID_TRC_int
52,1041146,7,-1,Crémazie,5,0,0.001415823,21.193,51,0.001415823,50,1,7999,0,-8888,-8888,-8888,-8888,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041146
53,1041143,7,-1,Crémazie,5,0,0.008127606,14.766,52,0.008127606,50,1,7999,0,-8888,-8888,-8888,-8888,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041143
54,1050196,7,1,Henri-Bourassa,5,0,0.00700381,85.517,53,0.00700381,50,4,15093,0,15093.911,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050196
55,1050192,7,1,Henri-Bourassa,5,0,0.002339415,89.774,54,0.002339415,42,4,15581,0,15581.326,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050192
56,1090273,0,1,Tillemont,5,0,0.000605445,75.504,55,0.000605445,50,3,4625,0,4625.872,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090273
57,1090272,0,1,Tillemont,5,0,-0.001823776,74.949,56,-0.001823776,34,1,1721,0,1721.076,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090272
58,1260133,0,-1,Lambert-Closse,5,0,0.048791666,107.201,57,0.048791666,42,1,4145,0,4145.57,0,1,1,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260133
59,1260132,0,-1,Lambert-Closse,5,0,0.028493892,97.574,58,0.028493892,34,1,1929,0,1929.542,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260132
60,1260131,0,-1,Lambert-Closse,5,0,0.004333064,133.867,59,0.004333064,34,1,3044,0,3044.916,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260131
61,1260130,0,-1,Lambert-Closse,5,0,0.002296764,91.443,60,0.002296764,34,1,1697,0,1697.477,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260130
62,1260127,0,0,Lambert-Closse,5,0,0.033694456,88.451,61,0.033694456,34,1,2969,0,2969.385,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260127
63,1080587,0,1,24e,5,0,-0.009584175,246.85,62,-0.009584175,42,1,1365,0,1365.06,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080587
64,1240143,0,-1,Gilford,5,0,-0.000969459,83.274,63,-0.000969459,34,1,1647,0,1647.107,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240143
65,1240142,0,-1,Gilford,5,0,-0.00700654,46.045,64,-0.00700654,34,1,1369,0,1369.351,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240142
66,1240140,0,-1,Gilford,5,0,-0.006784911,87.952,65,-0.006784911,34,1,898,0,898.4,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240140
