,cyclist_id,origin,destination
974,1536,29107,28146
975,1537,20399,27638
976,1539,16112,26024
977,1540,22523,24373
978,1541,24673,24396
979,1542,27287,24598
980,1544,24646,25424
981,1545,26709,24889
982,1546,22008,23853
983,1547,27614,21964
984,1548,24608,20098
985,1549,22249,24609
986,1550,24932,17871
987,1552,22846,29809
988,1553,25214,28402
989,1554,14768,5983
990,1555,24647,20429
991,1557,25403,27795
992,1559,23776,17578
993,1560,5627,3916
994,1561,25712,14335
995,1562,28095,23532
996,1563,25490,15487
997,1565,31407,27278
998,1566,18241,25195
999,1568,24611,23158
1000,1569,21439,30656
1001,1570,17918,24597
1002,1571,27830,26085
1003,1572,24876,27620
1004,1575,22235,21034
1005,1577,26001,22861
1006,1578,26085,27231
1007,1579,26360,27231
1008,1580,26119,24401
1009,1581,27531,26085
1010,1582,12081,12087
1011,1584,16276,26976
1012,1585,20711,22235
1013,1586,25201,26365
1014,1587,25721,24070
1015,1588,23853,22008
1016,1589,19471,19794
1017,1590,21683,24647
1018,1591,24649,21993
1019,1592,22279,23852
1020,1593,12363,11737
1021,1595,28107,28107
1022,1599,20740,29057
1023,1600,21606,25188
1024,1601,24631,25745
1025,1602,17874,25429
1026,1603,27538,18245
1027,1605,3911,3916
1028,1606,31406,27910
1029,1607,27604,26999
1030,1608,22825,24609
1031,1609,24645,25216
1032,1611,24365,26354
1033,1612,11733,12401
1034,1614,26999,31408
1035,1616,16117,19468
1036,1617,15356,16299
1037,1618,25260,25259
1038,1619,22248,21385
1039,1620,21953,21652
1040,1621,23786,22233
1041,1622,25790,20429
1042,1623,24438,22008
1043,1624,20733,26776
1044,1625,30277,27492
1045,1626,25432,22824
1046,1627,15817,16684
1047,1628,31909,18520
1048,1629,25216,25765
1049,1631,24025,27580
1050,1632,20102,26457
1051,1633,16584,15074
1052,1635,27626,26393
1053,1636,24611,27946
1054,1637,32732,24417
1055,1638,17269,26885
1056,1639,27949,24922
1057,1640,25223,24922
1058,1641,21398,27262
1059,1642,20711,27224
1060,1643,24280,17269
1061,1646,24072,22825
1062,1648,20728,21044
1063,1649,31624,27362
1064,1650,20417,18876
1065,1652,11740,13762
1066,1654,21695,21696
1067,1655,3008,4321
1068,1656,20726,25191
1069,1658,19162,20111
1070,1659,22824,24609
1071,1660,28820,29757
1072,1661,32724,32103
1073,1663,25820,27958
1074,1664,29757,28820
1075,1668,31102,26390
1076,1669,28836,26395
1077,1670,26086,18883
1078,1671,32094,27038
1079,1673,24969,25260
1080,1674,20429,21953
1081,1675,23489,16052
1082,1676,23489,16052
1083,1677,27777,30921
1084,1681,30922,30922
1085,1682,27226,11767
1086,1684,26082,10531
1087,1686,10830,24834
1088,1690,24052,23158
1089,1695,20705,18530
1090,1696,21649,20416
1091,1697,11410,11730
1092,1698,29378,25765
1093,1699,25765,25765
1094,1700,10829,23511
1095,1701,25431,17875
1096,1703,24314,29746
1097,1705,29730,19999
1098,1708,17878,17904
1099,1709,20098,26332
1100,1716,24611,25223
1101,1717,22007,18272
1102,1718,18271,22007
1103,1719,22885,29117
1104,1722,25424,20423
1105,1723,25222,26886
1106,1725,12373,19154
1107,1726,26332,20417
1108,1727,24924,22249
1109,1728,17538,23773
1110,1729,17224,23776
1111,1730,27583,27260
1112,1731,18246,25735
1113,1732,27472,24383
1114,1733,16338,18168
1115,1734,27167,30972
1116,1735,29107,29371
1117,1736,22233,20111
1118,1737,29411,28095
1119,1738,21050,20427
1120,1739,30961,21744
1121,1740,16219,20724
1122,1741,20399,16923
1123,1742,19805,26031
1124,1743,29378,28425
1125,1746,18170,26926
1126,1747,26891,18461
1127,1748,16391,26025
1128,1751,24080,17871
1129,1752,25114,13760
1130,1753,29107,26936
1131,1754,17219,27638
1132,1755,15369,16842
1133,1756,12375,20104
1134,1757,25422,26976
1135,1758,25189,25441
1136,1759,24893,19798
1137,1760,20422,27810
1138,1761,20421,24314
1139,1762,26080,27231
1140,1763,31411,31922
1141,1765,25788,17582
1142,1767,22279,23852
1143,1768,14335,25415
1144,1770,26697,24313
1145,1772,18460,26356
1146,1773,18241,26969
1147,1775,19162,23195
1148,1776,21384,20102
1149,1777,20422,27810
1150,1778,23157,24610
1151,1779,23213,24607
1152,1782,24366,25195
1153,1785,24972,16390
1154,1786,21934,24354
1155,1788,17216,27751
1156,1789,15481,12119
1157,1791,27247,20724
1158,1793,28142,26537
1159,1794,27904,27610
1160,1796,27269,25192
1161,1797,31863,26999
1162,1798,23225,23538
1163,1799,27062,25537
1164,1800,28100,29092
1165,1801,27602,28791
1166,1802,25775,27862
1167,1803,26029,21051
1168,1805,22903,22903
1169,1807,17579,25790
1170,1809,25224,28447
1171,1810,25192,30366
1172,1811,25723,24647
1173,1812,24021,17279
1174,1814,13760,25114
1175,1815,17219,22858
1176,1816,28425,29107
1177,1817,13359,16367
1178,1819,26926,20418
1179,1820,24871,23532
1180,1821,21439,30656
1181,1823,27221,29107
1182,1824,30972,26579
1183,1827,26025,16112
1184,1828,25710,14335
1185,1830,18500,26030
1186,1831,24890,23154
1187,1832,26698,26893
1188,1835,25181,17873
1189,1836,14479,15369
1190,1837,8561,12702
1191,1838,20421,21046
1192,1839,22230,18890
1193,1840,16111,21685
1194,1841,21685,19476
1195,1842,11056,11050
1196,1843,16052,20423
1197,1846,25178,23496
1198,1847,21045,26695
1199,1848,26695,21043
1200,1849,21044,26696
1201,1850,26695,21044
1202,1851,22519,21651
1203,1852,22783,23484
1204,1853,25722,23777
1205,1856,24340,12081
1206,1858,27260,27260
1207,1859,29060,20429
1208,1860,20416,26925
1209,1862,25479,22547
1210,1863,22247,24609
1211,1865,26455,15811
