,cyclist_id,origin,destination
738,1214,25790,17580
739,1215,25490,24609
740,1216,22008,23853
741,1218,27958,27633
742,1219,26962,12243
743,1222,29424,30052
744,1223,21606,21576
745,1224,24572,25710
746,1226,24572,29021
747,1228,18567,20421
748,1229,24357,22245
749,1230,25765,25216
750,1231,25778,24369
751,1232,30366,25188
752,1233,19134,27231
753,1234,24366,25424
754,1235,24609,21391
755,1244,10823,18607
756,1245,16603,24538
757,1246,12083,12085
758,1247,28104,18500
759,1248,26032,21051
760,1250,12700,21663
761,1252,27001,12078
762,1253,24609,22825
763,1255,24609,23759
764,1258,28110,21383
765,1260,27526,22857
766,1261,21384,19798
767,1265,27231,26252
768,1266,25819,24965
769,1267,24881,20728
770,1269,16113,21651
771,1271,22517,18890
772,1272,26305,16112
773,1273,22235,20711
774,1274,16397,26326
775,1275,26666,16397
776,1276,24153,21690
777,1277,24027,27252
778,1278,28143,29107
779,1280,23759,25782
780,1282,15474,21684
781,1283,26931,26971
782,1284,12239,26962
783,1286,24312,27033
784,1287,27255,20023
785,1288,19161,25480
786,1289,25710,29021
787,1290,22582,23809
788,1291,24886,16304
789,1292,24888,21628
790,1294,11410,11410
791,1295,27639,20398
792,1296,30054,25516
793,1297,13045,27035
794,1298,19168,28226
795,1299,23505,27252
796,1300,29452,26666
797,1304,26687,25216
798,1305,20711,20714
799,1306,28226,19168
800,1308,16118,22574
801,1309,21037,21037
802,1310,22574,16118
803,1311,27260,27583
804,1312,25112,27222
805,1313,16610,15063
806,1315,21037,22235
807,1316,26087,24886
808,1317,28461,29746
809,1318,24609,22547
810,1319,27451,31233
811,1320,29107,29379
812,1321,20398,27639
813,1322,28106,28107
814,1323,29021,25419
815,1325,18174,28101
816,1326,21391,21391
817,1327,19854,11072
818,1328,16367,13027
819,1330,12341,16368
820,1331,11732,26362
821,1332,15351,14081
822,1335,19147,27505
823,1336,20100,28163
824,1339,17768,18097
825,1341,17852,31413
826,1342,21034,21034
827,1343,22582,23855
828,1345,25790,17580
829,1346,22825,24321
830,1347,22250,24609
831,1348,25796,18889
832,1349,27538,26356
833,1350,30324,29456
834,1351,16398,26326
835,1352,28836,30656
836,1353,30654,28834
837,1356,28835,17528
838,1357,24966,24965
839,1358,28210,22591
840,1359,22902,18877
841,1360,18877,22900
842,1361,18241,19139
843,1362,30324,30065
844,1363,27639,20398
845,1364,14333,17219
846,1366,17268,26333
847,1367,23043,18762
848,1368,28101,22824
849,1370,18847,25425
850,1372,11051,11051
851,1374,31233,27450
852,1375,25189,25418
853,1376,22824,17873
854,1378,13027,16367
855,1381,24887,30375
856,1382,24869,27274
857,1384,24609,22825
858,1385,23855,22008
859,1386,26669,12243
860,1388,11732,27268
861,1389,27268,12078
862,1390,28143,29107
863,1391,29379,28143
864,1392,25708,17277
865,1393,24598,27621
866,1394,22517,19166
867,1395,27809,24632
868,1396,8445,20073
869,1397,17873,25760
870,1398,25710,29021
871,1399,21592,18876
872,1400,23195,29445
873,1401,26666,16683
874,1402,22008,22764
875,1404,24313,29437
876,1405,29439,29746
877,1406,24357,20422
878,1407,25428,24073
879,1408,25760,17873
880,1409,28153,25816
881,1410,22764,22582
882,1411,29021,24572
883,1412,24350,16390
884,1413,28107,28107
885,1414,20421,26075
886,1415,23533,24872
887,1416,17538,28095
888,1418,21050,26312
889,1419,14768,26923
890,1420,16367,13027
891,1421,29445,22884
892,1422,29107,28143
893,1423,11732,27001
894,1425,24572,25710
895,1426,18891,22517
896,1428,22883,22248
897,1429,25510,22555
898,1431,14616,25415
899,1432,20398,27639
900,1434,29116,24314
901,1435,18875,21903
902,1436,18857,27796
903,1437,17462,18097
904,1438,20418,27249
905,1440,22582,23853
906,1441,29116,24314
907,1442,23198,18241
908,1443,22249,24609
909,1444,12083,11716
910,1445,11396,12085
911,1446,14146,17165
912,1447,16276,14147
913,1448,23182,18165
914,1449,12101,17219
915,1451,18166,22844
916,1453,22521,25424
917,1454,25424,21358
918,1456,21050,20111
919,1457,22004,18241
920,1459,21955,26625
921,1460,10528,18607
922,1461,10830,28114
923,1462,27641,22248
924,1463,27226,21366
925,1466,18241,30000
926,1467,11051,11054
927,1468,24146,16500
928,1470,26931,18167
929,1472,17268,25790
930,1476,13027,16367
931,1477,24597,23533
932,1478,27502,19138
933,1480,28143,29107
934,1481,24354,30373
935,1482,27869,16924
936,1483,21232,17269
937,1486,24027,27579
938,1487,27210,14768
939,1490,24609,24058
940,1491,12085,12085
941,1493,18425,15369
942,1494,16112,26025
943,1495,26025,16111
944,1496,16924,19946
945,1497,22247,29445
946,1498,25710,29032
947,1499,25178,12089
948,1500,24597,27026
949,1501,19946,24836
