stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_ind,vertex_par,vertex_p_1,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/07/31 22:24:36.000,3418,2013/07/31 22:22:00.000,683,Social,,3418,,-1,160,0,160,0.008038601425439,113.984216204688835,19480,1,0.000000000000000,-73.607779794125094,45.541664135209203,-73.607779794125094,45.541664135209203
2013/07/31 22:34:08.000,3419,2013/07/31 22:08:42.000,10084,Commute,,3419,,0,0,0,0,0.000000000000000,331.260898813760321,24870,1,0.000000000000000,-73.573197299296794,45.493996021791702,-73.573197299296794,45.493996021791702
2013/07/31 22:34:08.000,3419,2013/07/31 22:08:42.000,10084,Commute,,3419,,-1,971,0,971,0.109697265608196,286.470566355692995,21702,1,0.000000000000000,-73.594618244331798,45.556613959192198,-73.594618244331798,45.556613959192198
2013/07/31 22:42:03.000,3420,2013/07/31 22:25:25.000,4595,Social,,3420,,0,0,0,0,0.000000000000000,35.765271105749932,29117,1,0.000000000000000,-73.546039236853105,45.549629985091002,-73.546039236853105,45.549629985091002
2013/07/31 22:42:03.000,3420,2013/07/31 22:25:25.000,4595,Social,,3420,,-1,559,0,559,0.052261669356062,220.860730554047905,22582,1,0.000000000000000,-73.588177529754205,45.547385569419802,-73.588177529754205,45.547385569419802
2013/07/31 23:05:08.000,3421,2013/07/31 22:07:07.000,21305,Domicile-travail,,3421,,0,0,0,0,0.000000000000000,136.672842056521148,14675,1,0.000000000000000,-73.642665848288303,45.580095953241504,-73.642665848288303,45.580095953241504
2013/07/31 23:05:08.000,3421,2013/07/31 22:07:07.000,21305,Domicile-travail,,3421,,-1,1957,0,1957,0.236511090842910,208.098024626387485,15063,1,0.000000302644896,-73.639120387817698,45.452701734373598,-73.639120420976411,45.452701433550672
2013/07/31 23:24:57.000,3422,2013/07/31 22:45:04.000,11433,Commute,,3422,,0,0,0,0,0.000000000000000,62.348290283748142,24849,1,0.000000000000000,-73.573151728154500,45.484174285203899,-73.573151728154500,45.484174285203899
2013/07/31 23:24:57.000,3422,2013/07/31 22:45:04.000,11433,Commute,,3422,,-1,1660,0,1660,0.120971236673464,288.422223650712283,26394,1,0.000000000000000,-73.564752345179599,45.554147792965601,-73.564752345179599,45.554147792965601
2013/08/01 00:01:54.000,3424,2013/07/31 23:45:29.000,5321,Social,,3424,,0,0,0,0,0.000000000000000,168.710695199581522,24311,1,0.000000000000000,-73.578332875190895,45.495243516281803,-73.578332875190895,45.495243516281803
2013/08/01 00:01:54.000,3424,2013/07/31 23:45:29.000,5321,Social,,3424,,-1,572,0,572,0.057638112478560,42.915006933534819,24073,1,0.000000000000000,-73.579204745936494,45.528006456626002,-73.579204745936494,45.528006456626002
2013/07/24 19:57:34.000,3425,2013/07/24 19:36:37.000,5698,Social,,3425,,0,0,0,0,0.000000000000000,221.690526045267490,19168,1,0.000000000000000,-73.610058542003600,45.544632746331203,-73.610058542003600,45.544632746331203
2013/07/24 19:57:34.000,3425,2013/07/24 19:36:37.000,5698,Social,,3425,,-1,874,0,874,0.065069986866992,127.009534181769268,26344,1,0.000000000000000,-73.564753303999694,45.517096490718302,-73.564753303999694,45.517096490718302
2013/07/31 21:01:28.000,3428,2013/07/31 20:16:58.000,14379,Sport,,3428,,0,0,0,0,0.000000000000000,51.420850651714922,19168,1,0.000000000000000,-73.610058542003600,45.544632746331203,-73.610058542003600,45.544632746331203
2013/07/31 21:01:28.000,3428,2013/07/31 20:16:58.000,14379,Sport,,3428,,-1,2257,0,2257,0.156980775543945,114.126481657919555,18580,1,0.000000000000000,-73.614740422262301,45.544764275931200,-73.614740422262301,45.544764275931200
2013/08/01 00:25:44.000,3429,2013/08/01 00:17:44.000,3845,Social,,3429,,0,0,0,0,0.000000000000000,297.861813036546948,21370,1,0.000000000000000,-73.595287888706196,45.529631196060798,-73.595287888706196,45.529631196060798
2013/08/01 00:25:44.000,3429,2013/08/01 00:17:44.000,3845,Social,,3429,,-1,434,0,434,0.045704076959863,286.078977162491526,15484,1,0.000000000000000,-73.636153344464603,45.543092356428801,-73.636153344464603,45.543092356428801
2013/08/01 00:55:14.000,3430,2013/07/31 22:48:27.000,37390,Sport,,3430,,0,0,0,0,0.000000000000000,213.620219036074047,25765,1,0.000000000000000,-73.569287516048405,45.519041922519293,-73.569287516048405,45.519041922519293
2013/08/01 00:55:14.000,3430,2013/07/31 22:48:27.000,37390,Sport,,3430,,-1,4964,0,4964,0.411881280299147,300.687506761733744,25216,1,0.000001279013348,-73.571654968135505,45.520227837480498,-73.571655110474140,45.520229108548889
2013/07/31 17:28:21.000,3431,2013/07/31 16:58:02.000,7574,Domicile-travail,,3431,,0,0,0,0,0.000000000000000,42.695224581996101,24313,1,0.000000000000000,-73.578082405348297,45.497401486899200,-73.578082405348297,45.497401486899200
2013/07/31 17:28:21.000,3431,2013/07/31 16:58:02.000,7574,Domicile-travail,,3431,,-1,1326,0,1326,0.083799163833301,307.088397177790284,20104,1,0.000000000000000,-73.603712556907197,45.540813963791400,-73.603712556907197,45.540813963791400
