stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_index,vertex_part,vertex_part_index,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/07/30 23:13:10.000,3197,2013/07/30 22:51:25.000,6109,Social,,3197,,1,1,0,1,0.000199640019221811,344.084205063142,25442,1,14.9421686646383,299273.711535934,5041124.7832757,299286.155966011,5041116.51257051
2013/07/30 23:13:10.000,3197,2013/07/30 22:51:25.000,6109,Social,,3197,,-2,1073,0,1073,0.0716342754375354,333.400260286594,16388,1,1.27634101399964,294574.662646006,5044409.79370908,294573.402018867,5044409.9933728
2013/07/31 01:12:16.000,3198,2013/07/31 00:56:38.000,6011,Domicile-travail,,3198,,1,1,0,1,0.000512609266480605,334.436409897698,25462,1,23.0806597038664,299232.355166846,5042357.89753934,299251.626966011,5042345.1965705
2013/07/31 01:12:16.000,3198,2013/07/31 00:56:38.000,6011,Domicile-travail,,3198,,-2,935,0,935,0.0703138576312889,245.885296605506,16118,1,11.6541166650374,294411.911413253,5045316.08692244,294401.285183033,5045320.87249101
2013/07/31 01:43:17.000,3199,2013/07/31 01:34:39.000,2921,Commute,,3199,,1,1,0,1,0.000113455989319425,287.824000276518,26709,1,6.9310194742903,299848.583060151,5043346.52596189,299855.428747274,5043345.44171157
2013/07/31 01:43:17.000,3199,2013/07/31 01:34:39.000,2921,Commute,,3199,,-2,292,0,292,0.0290825452012991,291.88728918985,23158,1,11.1341547474703,298187.906218191,5042061.2485944,298193.974709495,5042070.58362601
2013/07/30 17:51:53.000,3201,2013/07/30 17:33:57.000,6206,Domicile-travail,,3201,,1,1,0,1,0.00043658471078437,90.0037705330285,25712,1,36.2443193112927,299412.031364336,5039733.86602331,299435.124429495,5039761.80096601
2013/07/30 17:51:53.000,3201,2013/07/30 17:33:57.000,6206,Domicile-travail,,3201,,-2,971,0,971,0.0678329770416151,125.442075530133,29032,1,43.3120905779484,301145.840348498,5036517.25755031,301149.68618,5036474.11654
2013/07/22 07:54:22.000,3202,2013/07/22 07:33:57.000,6131,other,,3202,,1,1,0,1,7.89890281493665e-05,119.91192313652,29019,1,2.34351226705014,301087.121063132,5036409.43932567,301087.743966011,5036407.18011303
2013/07/22 07:54:22.000,3202,2013/07/22 07:33:57.000,6131,other,,3202,,-2,1084,0,1084,0.0653912552029578,9.28456265684399,25418,1,16.8765161361211,299288.169883852,5039858.63327601,299304.838622069,5039861.27334479
2013/07/21 18:16:33.000,3203,2013/07/21 14:00:54.000,81232,Sport,,3203,,1,1,0,1,6.13228938328562e-05,315.915950466608,29036,1,2.86032136082204,301181.175634803,5036665.38425824,301184.000740861,5036664.9368054
2013/07/21 18:16:33.000,3203,2013/07/21 14:00:54.000,81232,Sport,,3203,,-2,14035,0,14035,0.862275213878398,256.631823060454,29026,1,0,301140.085701431,5036435.30480717,301140.085701431,5036435.30480717
2013/07/31 06:51:16.000,3205,2013/07/31 06:16:42.000,11862,Exercise,,3205,,1,1,0,1,0.000414420435787874,227.436315306412,21651,1,30.9651812552365,297483.755628078,5042534.27391756,297508.860966011,5042516.1475705
